Server,Status,BeforeCHG_EnableDCOM,BeforeCHG_LegacyAuthenticationLevel,BEforeCHG_LegacyImpersonationLevel
ABN-AHW-TME-T01.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-APP-T08.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-APP-T09.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-XCT-01.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-IHM-T05.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-SQL-T14.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-XEN-T01.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-SQL-T13.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-WEB-T05.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-WEB-T06.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-WEB-T07.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-WEB-T08.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-WEB-T09.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-WEB-T10.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-CAE-T09.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-CAE-T10.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-CAE-T11.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-CAE-T12.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-CAE-T13.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-CAE-T14.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-CAE-T15.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-SQL-T15.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-SQL-T16.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-WAS-T03.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-WAS-T04.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-APP-T12.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-APP-T13.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-APP-T14.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-APP-T15.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-APP-T16.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-APP-T17.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-SQL-T11.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-SQL-T12.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-TME-T02.ahw.tzghosting.net,No Change required,Y,2,2
ABNAHWCLUST15.ahw.tzghosting.net,No Change required,Y,2,2
