BulletinID,ArticleID,Present or Missing,SUG Name,Detail
,4056568,Missing,SUG-Jan-2018,Security Updates - Windows Server 2008
,4011660,Present,SUG-Jan-2018,Security Updates - Office 2010
,4056613,Missing,SUG-Jan-2018,Security Updates - Windows Server 2008
,4011660,Present,SUG-Jan-2018,Security Updates - Office 2010
,4056615,Missing,SUG-Jan-2018,Security Updates - Windows Server 2008
