BulletinID,ArticleID,Present or Missing,SUG Name,Detail
MS13-015,2789644,Missing,SUG-Feb-2018,Security Updates - Windows 7
958869,NA,Not found in SCCM,NA,NA
MS13-015,2789644,Missing,SUG-Feb-2018,Security Updates - Windows 7
972580,NA,Not found in SCCM,NA,NA
MS13-015,2789644,Missing,SUG-Feb-2018,Security Updates - Windows 7
972581,NA,Not found in SCCM,NA,NA
MS13-015,2789644,Missing,SUG-Feb-2018,Security Updates - Windows 7
972581,NA,Not found in SCCM,NA,NA
MS13-015,2789644,Missing,SUG-Feb-2018,Security Updates - Windows 7
972581,NA,Not found in SCCM,NA,NA
MS13-015,2789644,Missing,SUG-Feb-2018,Security Updates - Windows 7
971119,NA,Not found in SCCM,NA,NA
MS13-015,2789644,Missing,SUG-Feb-2018,Security Updates - Windows 7
MS16-120,3192391,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
3185330,NA,Not found in SCCM,NA,NA
MS16-120,3192391,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS16-120,3192393,Present,SUG-Feb-2018,Security Updates - Windows Server 2012
3185332,NA,Not found in SCCM,NA,NA
MS16-120,3192393,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012
MS16-120,3192392,Present,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
3185331,NA,Not found in SCCM,NA,NA
MS16-120,3192392,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
3182373,NA,Not found in SCCM,NA,NA
MS16-120,3192392,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
2863253,NA,Not found in SCCM,NA,NA
MS16-120,3192392,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
2861190,NA,Not found in SCCM,NA,NA
MS16-120,3192392,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
MS13-082,2861697,Present,SUG-Feb-2018,Security Updates - Windows Server 2003, Datacenter Edition
MS13-082,2858302,Present,SUG-Feb-2018,Security Updates - Windows 7
MS13-082,2861188,Present,SUG-Feb-2018,Security Updates - Windows Server 2003, Datacenter Edition
MS13-082,2861193,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
MS13-082,2861208,Present,SUG-Feb-2018,Security Updates - Windows 7
