Server,SCCM_Status,OS
ABN-CMC-XEN-D01.CMC.tzghosting.net,Installed,Microsoft Windows Server 2012 R2 Standard
ABN-MHP-APP-T05.MHP.tzghosting.net,Missing,Microsoft Windows Server 2008 R2 Enterprise 
ABN-EMB-WEB-02.EMB.tzghosting.net,Installed,Microsoft Windows Server 2008 R2 Standard 
ABN-EMB-SQL-01.EMB.tzghosting.net,Installed,Microsoft Windows Server 2008 R2 Standard 
ABN-EMB-WEB-03.EMB.tzghosting.net,Installed,Microsoft Windows Server 2008 R2 Standard 
ABN-EMB-CAE-T15.EMB.tzghosting.net,Installed,Microsoft Windows Server 2012 R2 Standard
ABN-EMB-WEB-05.EMB.tzghosting.net,Installed,Microsoft Windows Server 2008 R2 Standard 
ABN-EMB-WEB-06.EMB.tzghosting.net,Installed,Microsoft Windows Server 2008 R2 Standard 
ABN-EMB-WEB-07.EMB.tzghosting.net,Installed,Microsoft Windows Server 2008 R2 Standard 
ABN-TZF-WEB-T03.SAAS.tzghosting.net,Missing,Microsoft Windows Server 2012 R2 Standard
ABN-PRH-DC-02.PRH.tzghosting.net,Unable to establish remote session
ABN-PRH-DC-01.PRH.tzghosting.net,Missing,Microsoft Windows Server 2012 R2 Standard
ABN-HDV-IHM-D01.HDV.tzghosting.net,Unable to establish remote session
ABN-HDV-WEB-01.HDV.tzghosting.net,Ping Failed
ABN-HDV-WAS-T03.HDV.tzghosting.net,Ping Failed
ABN-HDV-APP-C01.HDV.tzghosting.net,Ping Failed
ABN-HDV-IHM-T01.HDV.tzghosting.net,Unable to establish remote session
ABN-HDV-WEB-R01.HDV.tzghosting.net,Ping Failed
ABN-HDV-WAS-T02.HDV.tzghosting.net,Ping Failed
ABN-HDV-WAS-S01.HDV.tzghosting.net,Missing,Microsoft Windows Server 2012 R2 Standard
ABN-HDV-WAS-S02.HDV.tzghosting.net,Missing,Microsoft Windows Server 2012 R2 Standard
ABN-HDV-XEN-F01.HDV.tzghosting.net,Ping Failed
ABN-OTS-SQL-99.OTS.tzghosting.net,Unable to establish remote session
ABN-THF-EFTP-07.custft.tzghosting.net,Installed,Microsoft Windows Server 2012 R2 Standard
ABN-THF-EFTP-08.custft.tzghosting.net,Installed,Microsoft Windows Server 2012 R2 Standard
ABN-SDB-APP-P01.SDB.tzghosting.net,Installed,Microsoft Windows Server 2008 R2 Enterprise 
ABN-SDB-APP-P02.SDB.tzghosting.net,Unable to establish remote session
ABN-THR-QXI-D01.THR.tzghosting.net,Installed,Microsoft Windows Server 2012 R2 Standard
ABN-THR-QXI-D02.THR.tzghosting.net,Installed,Microsoft Windows Server 2012 R2 Standard
ABN-GHS-DC-01.GHS.tzghosting.net,Missing,Microsoft Windows Server 2012 R2 Standard
ABN-GHS-DC-02.GHS.tzghosting.net,Installed,Microsoft Windows Server 2012 R2 Standard
ABN-GHS-DFS-01.GHS.tzghosting.net,Installed,Microsoft Windows Server 2012 R2 Standard
