CollectionName, CollectionID, StartTime,EndTime,Duration(mins)
DEMO Non Prod Servers,CSN000D8,09/21/2018 21:00:00,09/22/2018 06:00:00,540
DEMO Non Prod Servers,CSN000D8,09/21/2018 21:00:00,09/22/2018 06:00:00,540
