Server,RebootStatus
CSN-BCN-XEN-09.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-18.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-21.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-29.BCN.tzghosting.net,Reboot Required
CSN-BCN-XEN-30.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-31.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-32.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-33.services.tzghosting.net,Connection-Error
CSN-BCN-XEN-35.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-36.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-37.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-38.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-39.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-40.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-41.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-42.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-43.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-44.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-45.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-46.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-47.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-48.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-49.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-50.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-51.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-52.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-53.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-54.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-55.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-56.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-57.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-58.BCN.tzghosting.net,Reboot Not Required
CSN-BNC-APP-03.custhsp.tzghosting.net,Reboot Required
CSN-BNC-APP-04.custhsp.tzghosting.net,Reboot Required
CSN-BNC-IHM-05.custhsp.tzghosting.net,Reboot Required
CSN-BNC-IHM-06.custhsp.tzghosting.net,Reboot Required
CSN-BNC-SQL-01.custhsp.tzghosting.net,Reboot Required
CSN-BNC-SQL-08.custhsp.tzghosting.net,Reboot Required
CSN-BNC-SQL-09.custhsp.tzghosting.net,Reboot Required
CSN-BNC-SQL-09V.custhsp.tzghosting.net,Reboot Not Required
CSN-BPA-APP-01.custhsp.tzghosting.net,Reboot Required
CSN-BRI-APP-11.BRI.tzghosting.net,Reboot Not Required
CSN-BRI-APP-14.BRI.tzghosting.net,Reboot Not Required
CSN-BRI-APP-15.BRI.tzghosting.net,Reboot Not Required
CSN-BRI-APP-16.BRI.tzghosting.net,Reboot Not Required
CSN-BRI-APP-17.BRI.tzghosting.net,Reboot Not Required
CSN-BRI-APP-22.BRI.tzghosting.net,Reboot Not Required
CSN-BRI-APP-23.BRI.tzghosting.net,Reboot Not Required
CSN-BRI-APP-24.BRI.tzghosting.net,Reboot Not Required
CSN-BRI-CWI-01.BRI.tzghosting.net,Reboot Required
CSN-BRI-CWI-02.BRI.tzghosting.net,Reboot Required
CSN-BRI-DC-03.BRI.tzghosting.net,Reboot Required
CSN-BRI-DC-04.BRI.tzghosting.net,Reboot Required
CSN-BRI-DFS-03.BRI.tzghosting.net,Reboot Required
CSN-BRI-IHM-01.BRI.tzghosting.net,Reboot Not Required
CSN-BRI-WEB-13.BRI.tzghosting.net,Reboot Not Required
CSN-CCF-QHG-03.CCF.tzghosting.net,Ping-Failed
CSN-CEC-XEN-01.CEC.tzghosting.net,Ping-Failed
CSN-CEC-XEN-02.CEC.tzghosting.net,Ping-Failed
CSN-CIG-APP-02.CIG.tzghosting.net,Reboot Required
CSN-CIG-APP-04.CIG.tzghosting.net,Reboot Required
CSN-CIG-CWI-01.CIG.tzghosting.net,Reboot Required
CSN-CIG-CWI-02.CIG.tzghosting.net,Reboot Required
CSN-CIG-DC-01.CIG.tzghosting.net,Reboot Required
CSN-CIG-DC-02.CIG.tzghosting.net,Reboot Required
CSN-CIG-FTP-04.CIG.tzghosting.net,Reboot Required
CSN-CIG-SQL-01.CIG.tzghosting.net,Reboot Required
CSN-CIG-SQL-03.CIG.tzghosting.net,Reboot Required
CSN-CIG-SQL-04.CIG.tzghosting.net,Reboot Required
CSN-CIG-SQL-05.CIG.tzghosting.net,Reboot Required
CSN-CIG-WAS-05.CIG.tzghosting.net,Reboot Required
CSN-CIG-WAS-06.CIG.tzghosting.net,Reboot Required
CSN-CIG-WAS-07.CIG.tzghosting.net,Reboot Required
CSN-CIG-WAS-08.CIG.tzghosting.net,Reboot Required
CSN-CIG-WEB-01.CIG.tzghosting.net,Reboot Required
CSN-CIG-WEB-02.CIG.tzghosting.net,Reboot Required
CSN-CIG-WEB-03.CIG.tzghosting.net,Reboot Required
CSN-CIG-XEN-02.CIG.tzghosting.net,Reboot Required
CSN-CIP-APP-12.cust.tzghsp.net,Reboot Required
CSN-CIP-SQL-11.cust.tzghsp.net,Reboot Not Required
CSN-CLH-DC-01.CLH.tzghosting.net,Reboot Required
CSN-CLH-DC-02.CLH.tzghosting.net,Reboot Required
CSN-CLH-DFS-01.CLH.tzghosting.net,Reboot Required
CSN-CLR-IHM-01.cust.tzghsp.net,Reboot Required
CSN-CLR-SQL-05.cust.tzghsp.net,Reboot Required
CSN-CLR-SQL-06.cust.tzghsp.net,Reboot Required
CSN-CLR-SQL-07.cust.tzghsp.net,Reboot Not Required
CSN-CLR-SQL-08.cust.tzghsp.net,Reboot Not Required
CSN-CMB-APP-04.CMB.tzghosting.net,Reboot Required
CSN-CMB-APP-07.CMB.tzghosting.net,Reboot Required
CSN-CMB-APP-26.CMB.tzghosting.net,Reboot Required
CSN-CMB-APP-28.CMB.tzghosting.net,Reboot Required
CSN-CMB-APP-30.CMB.tzghosting.net,Reboot Required
CSN-CMB-APP-31.CMB.tzghosting.net,Reboot Required
CSN-CMB-APP-32.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-APP-33.CMB.tzghosting.net,Reboot Required
CSN-CMB-APP-34.CMB.tzghosting.net,Reboot Required
CSN-CMB-APP-35.CMB.tzghosting.net,Reboot Required
CSN-CMB-APP-36.CMB.tzghosting.net,Reboot Required
CSN-CMB-APP-37.CMB.tzghosting.net,Reboot Required
CSN-CMB-BPM-01.CMB.tzghosting.net,Reboot Required
CSN-CMB-CNV-01.CMB.tzghosting.net,Reboot Required
CSN-CMB-DC-02.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-FHG-02.CMB.tzghosting.net,Reboot Required
CSN-CMB-FHG-05.CMB.tzghosting.net,Reboot Required
CSN-CMB-FXI-08.CMB.tzghosting.net,Reboot Required
CSN-CMB-FXI-09.CMB.tzghosting.net,Reboot Required
CSN-CMB-HPA-03.CMB.tzghosting.net,Reboot Required
CSN-CMB-HPA-04.CMB.tzghosting.net,Reboot Required
CSN-CMB-HPA-11.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-HPA-20.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-HPA-21.CMB.tzghosting.net,Reboot Required
CSN-CMB-HPA-23.CMB.tzghosting.net,Reboot Required
