Server,RebootStatus
CSN-ACC-APP-01.custhsp.tzghosting.net,Reboot Required
CSN-ACC-QHG-03.ACC.tzghosting.net,Ping-Failed
CSN-AGA-APP-01.custhsp.tzghosting.net,Reboot Required
CSN-AGA-QHG-03.AGA.tzghosting.net,Ping-Failed
CSN-AHP-CWI-01.AHP.tzghosting.net,Reboot Required
CSN-AHP-CWI-02.AHP.tzghosting.net,Reboot Required
CSN-AHP-DC-01.AHP.tzghosting.net,Reboot Required
CSN-AHP-DC-02.AHP.tzghosting.net,Reboot Required
CSN-AHP-SQL-01.custhsp.tzghosting.net,Reboot Required
CSN-AHP-SQL-03.AHP.tzghosting.net,Reboot Required
CSN-AHP-ZDC-01.AHP.tzghosting.net,Reboot Required
CSN-AHW-CWI-01.AHW.tzghosting.net,Reboot Required
CSN-AHW-CWI-02.AHW.tzghosting.net,Reboot Required
CSN-AHW-DC-01.AHW.tzghosting.net,Reboot Required
CSN-AHW-DC-02.AHW.tzghosting.net,Reboot Required
CSN-AHW-DFS-01.AHW.tzghosting.net,Reboot Required
CSN-AHW-ZDC-01.AHW.tzghosting.net,Reboot Required
CSN-AHW-ZDC-02.AHW.tzghosting.net,Reboot Required
CSN-ARC-QHG-03.ARC.tzghosting.net,Ping-Failed
CSN-BCN-CAP-01.custhsp.tzghosting.net,Reboot Required
CSN-BCN-CWI-01.BCN.tzghosting.net,Reboot Required
CSN-BCN-CWI-02.BCN.tzghosting.net,Reboot Required
CSN-BCN-DC-01.BCN.tzghosting.net,Reboot Required
CSN-BCN-DC-02.BCN.tzghosting.net,Reboot Required
CSN-BCN-DFS-01.BCN.tzghosting.net,Reboot Required
CSN-BCN-FHG-03.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-01.BCN.tzghosting.net,Reboot Required
CSN-BCN-HPA-24.BCN.tzghosting.net,Reboot Required
CSN-BCN-HPA-25.BCN.tzghosting.net,Reboot Required
CSN-BCN-HPA-37.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-39.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-46.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-47.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-53.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-60.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-72.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-74.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-84.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-87.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-88.BCN.tzghosting.net,Reboot Required
CSN-BCN-HPA-93.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-94.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-HPA-95.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-IHM-01.custhsp.tzghosting.net,Reboot Required
CSN-BCN-SQL-09.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-UTIL-01.BCN.tzghosting.net,Reboot Required
CSN-BCN-WEB-20.BCN.tzghosting.net,Reboot Required
CSN-BCN-WEB-21.BCN.tzghosting.net,Reboot Required
CSN-BCN-XEN-09.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-18.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-21.BCN.tzghosting.net,Reboot Not Required
CSN-BCN-XEN-29.BCN.tzghosting.net,Reboot Required
CSN-BDI-APP-01.custhsp.tzghosting.net,Reboot Required
CSN-BNC-APP-03.custhsp.tzghosting.net,Reboot Required
CSN-BNC-APP-04.custhsp.tzghosting.net,Reboot Required
CSN-BNC-IHM-05.custhsp.tzghosting.net,Reboot Required
CSN-BNC-IHM-06.custhsp.tzghosting.net,Reboot Required
CSN-BNC-SQL-01.custhsp.tzghosting.net,Reboot Required
CSN-BNC-SQL-08.custhsp.tzghosting.net,Reboot Required
CSN-BNC-SQL-09.custhsp.tzghosting.net,Reboot Required
CSN-BNC-SQL-09V.custhsp.tzghosting.net,Reboot Not Required
CSN-BPA-APP-01.custhsp.tzghosting.net,Reboot Required
CSN-BRH-APP-01.custhsp.tzghosting.net,Reboot Required
CSN-BRI-APP-08.BRI.tzghosting.net,Reboot Required
CSN-BRI-APP-09.BRI.tzghosting.net,Reboot Required
CSN-BRI-APP-10.BRI.tzghosting.net,Reboot Required
CSN-BRI-APP-11.BRI.tzghosting.net,Reboot Required
CSN-BRI-APP-12.BRI.tzghosting.net,Reboot Required
CSN-BRI-APP-14.BRI.tzghosting.net,Reboot Required
CSN-BRI-APP-15.BRI.tzghosting.net,Reboot Required
CSN-BRI-APP-16.BRI.tzghosting.net,Reboot Required
