kb, title, date, total, Installed, missing, notApplicable, unKnown, PercentCompliant, bulletinID, Downloaded, Deployed, Superseded, URL, Size
4338832, 2018-07 Security Update for Adobe Flash Player for Windows Server 2016 for x64-based Systems (KB4338832), 07/10/2018 13:16:02,10582,0,0,10070,512,95, , No, No, No, http://support.microsoft.com/help/4338832, 
4338832, 2018-07 Security Update for Adobe Flash Player for Windows 10 Version 1709 for x64-based Systems (KB4338832), 07/10/2018 13:15:09,10582,0,0,10070,512,95, , No, No, No, http://support.microsoft.com/help/4338832, 
4338832, 2018-07 Security Update for Adobe Flash Player for Windows Server 2012 R2 for x64-based Systems (KB4338832), 07/16/2018 01:38:34,10582,118,89,9864,511,94, , Yes, Yes, No, http://support.microsoft.com/help/4338832, 
4338832, 2018-07 Security Update for Adobe Flash Player for Windows Server 2012 for x64-based Systems (KB4338832), 07/10/2018 13:15:39,10582,0,0,10070,512,95, , No, No, No, http://support.microsoft.com/help/4338832, 
4339093, Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 (KB4339093), 07/10/2018 13:12:58,10582,0,1,10069,512,95, , No, No, No, http://support.microsoft.com/kb/4339093, 
4339093, Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB4339093), 07/16/2018 01:38:45,10582,3124,2294,4711,453,74, , Yes, Yes, No, http://support.microsoft.com/kb/4339093, 
4339093, Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 for x64-based Systems (KB4339093), 07/10/2018 13:12:34,10582,0,0,10070,512,95, , No, No, No, http://support.microsoft.com/kb/4339093, 
4339093, Cumulative Security Update for Internet Explorer 10 for Windows Server 2012 (KB4339093), 07/10/2018 13:13:18,10582,0,0,10070,512,95, , No, No, No, http://support.microsoft.com/kb/4339093, 
4339093, Cumulative Security Update for Internet Explorer 11 for Windows Server 2008 R2 for x64-based Systems (KB4339093), 07/16/2018 01:38:44,10582,241,347,9482,512,92, , Yes, Yes, No, http://support.microsoft.com/kb/4339093, 
4338821, 2018-07 Preview of Monthly Quality Rollup for Windows Server 2008 R2 for x64-based Systems (KB4338821), 07/24/2018 13:00:18,10582,20,3404,6368,790,60, , No, No, No, http://support.microsoft.com/help/4338821, 
4345459, 2018-07 Update for Windows Server 2008 R2 for x64-based Systems (KB4345459), 07/19/2018 20:05:35,10582,44,3378,6544,616,62, , No, No, No, http://support.microsoft.com/help/4345459, 
4284826, 2018-06 Security Monthly Quality Rollup for Windows Server 2008 R2 for x64-based Systems (KB4284826), 07/16/2018 01:41:00,10582,3004,516,6731,331,92, , Yes, Yes, Yes, http://support.microsoft.com/help/4284826, 
4284867, 2018-06 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4284867), 07/16/2018 01:41:03,10582,3308,194,6749,331,95, , Yes, Yes, No, http://support.microsoft.com/help/4284867, 
