Server,Domain,Operating-System
CSN-SVC-DC-01,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-DC-02,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-DC-01,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-DC-02,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-DC-03,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-CCA-02,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-SVC-CCA-02,services.tzghosting.net,Windows Server 2008 R2 Enterprise
ABN-SVC-KMS-02,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-KMS-02,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-TZG-MET-T01,services.tzghosting.net,Windows Server 2003
ABN-TZG-WAS-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-DDMP-04,services.tzghosting.net,Windows Server 2003
ABN-EMS-DDM-01,services.tzghosting.net,Windows Server 2003
ABN-EMS-DDMP-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-APP-D01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-GWS-02,services.tzghosting.net,Windows Server 2003
CSN-EMS-DDMP-03,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-DDMP-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-DDMC-01,services.tzghosting.net,Windows Server 2003
CSN-EMS-BSM-D01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-EMS-DDMP-03,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-BSM-D02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-APP-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-APP-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-04,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-05,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-06,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-07,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-ADS-01,services.tzghosting.net,Windows Server 2003
CSN-SVC-RLM-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-RLM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-RLM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-RLM-03,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-GEO-01,services.tzghosting.net,Windows Server 2003
CSN-PDM-APP-T03,services.tzghosting.net,Windows Server 2003
ABN-OIM-APP-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-OIM-APP-T02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-SQL-09,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-SVC-SQL-10,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-SVC-SQL-04,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-WEB-02,services.tzghosting.net,Windows Server 2003
CSN-TZG-CONV-02,services.tzghosting.net,Windows Server 2003
CSN-TZG-CONV-01,services.tzghosting.net,Windows Server 2003
CSN-TZG-CONV-04,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-CONV-03,services.tzghosting.net,Windows Server 2003
CSN-TZG-UTIL-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-PS-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-PS-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-UTIL-01,services.tzghosting.net,Windows Server 2003
CSN-SVC-TID-60,services.tzghosting.net,Windows Server 2003
ABN-SVC-TID-D50,services.tzghosting.net,Windows Server 2003
ABN-SVC-TID-D01,services.tzghosting.net,Windows Server 2003
ABN-SVC-TID-D02,services.tzghosting.net,Windows Server 2003
CSN-SVC-SQL-07,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-SVC-SQL-08,services.tzghosting.net,Windows Server 2008 R2 Enterprise
ABN-TZG-EMC-01,services.tzghosting.net,Windows Server 2003
CSN-SVC-APP-03,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-APA-01,services.tzghosting.net,Windows Server 2003
CSN-SVC-REP-01,services.tzghosting.net,Windows Server 2003
CSN-SVC-DEP-01,services.tzghosting.net,Windows Server 2003
CSN-SVC-CHP-01,services.tzghosting.net,Windows Server 2003
CSN-TZG-BDS-01,services.tzghosting.net,Windows Server 2003
CSN-TZG-BDS-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-BDS-01,services.tzghosting.net,Windows Server 2003
ABN-TZG-BDS-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SQL-T02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-APP-T02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-MET-T01,services.tzghosting.net,Windows Server 2003
ABN-SVC-APP-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-APP-D03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SQL-D02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-APP-D02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SQL-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SQL-D01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-OOC-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-OOC-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SSB-01,services.tzghosting.net,Windows Server 2003
ABN-SVC-ECG-01,services.tzghosting.net,Windows Server 2003
ABN-TZG-CNV-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-OIM-APP-T03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-APA-T01,services.tzghosting.net,Windows Server 2003
ABN-SVC-REP-T01,services.tzghosting.net,Windows Server 2003
ABN-SVC-DEP-T01,services.tzghosting.net,Windows Server 2003
ABN-TZG-BIZ-T05,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-AV-04,services.tzghosting.net,Windows Server 2003
ABN-TZG-MET-T05,services.tzghosting.net,Windows Server 2003
CSN-EMS-SQL-04,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-EMS-ASM-01,services.tzghosting.net,Windows Server® 2008 Standard
CSN-EMS-SQL-03,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-EMS-ASM-02,services.tzghosting.net,Windows Server® 2008 Standard
ABN-EMS-SQL-02,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-EMS-SIS-D01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-EMS-SQL-03,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-EMS-MET-01,services.tzghosting.net,Windows Server 2003
CSN-EMS-ASM-D01,services.tzghosting.net,Windows Server® 2008 Standard
CSN-TZG-MET-31,services.tzghosting.net,Windows Server 2003
CSN-SVC-ES-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-MET-30,services.tzghosting.net,Windows Server 2003
ABN-TZG-SQL-T09,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-RLM-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-SQL-30,services.tzghosting.net,Windows Server 2008 R2 Enterprise
ABN-TZG-SQL-30,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-TZG-SQL-31,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-TZG-APP-07,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-APP-05,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-APP-06,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-WAE-JAW-D01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SRM-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-VC-07,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-VC-08,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-VUM-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-SRM-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-VUM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-VUM-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SRM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-CB-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-VUM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-CB-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-SRM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-WAS-03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SQL-05,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-HUB-T05,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-APP-T12,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-APP-T11,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-SQL-13,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-EFT-D01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-EFT-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SQL-T04,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-EFT-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SQL-D03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-XPD-11,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-02,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-10,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-08,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-04,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-05,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-12,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-09,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-07,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-03,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-06,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-XPD-01,services.tzghosting.net,Windows Server® 2008 Standard
ABN-TZG-WAS-T04,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-BCN-10,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-NMP-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-NMP-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-NMP-03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-EMS-NMP-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-NPH-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-DBA-SQL-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-SMA-D02,services.tzghosting.net,Windows Server 2003
CSN-EMS-NPH-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-BCN-11,services.tzghosting.net,Windows 7 Professional
ABN-EMS-NPH-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-MET-T07,services.tzghosting.net,Windows Server 2003
ABN-TZG-MET-T06,services.tzghosting.net,Windows Server 2003
ABN-TZG-SQL-T08,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-SQL-34,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-FXI-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-FHG-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-APP-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-APP-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-APP-08,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-CDT-01,services.tzghosting.net,Windows Server 2003
CSN-SVC-ILM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-NBU-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SQL-07,services.tzghosting.net,Windows Server 2008 R2 Enterprise
ABN-SVC-SQL-01,services.tzghosting.net,Windows Server 2003
ABN-SVC-SQL-08,services.tzghosting.net,Windows Server 2008 R2 Enterprise
ABN-DBA-APP-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-UAR-APP-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-ALM-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-ALM-03,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-ALM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-DFS-08,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-DFS-08,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-ECG-02,services.tzghosting.net,Windows Server 2003
ABN-SVC-DEM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-SQL-T03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-APP-T03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-SQL-T07,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-APP-T02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-APP-T08,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-APP-T04,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-SQL-T08,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-APP-T05,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-SQL-T02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-APP-T06,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-SQL-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-SQL-T06,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-SQL-T05,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-APP-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-SQL-T04,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-CTP-APP-T07,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SMTP-01,services.tzghosting.net,Windows Server 2003
ABN-SVC-SMTP-02,services.tzghosting.net,Windows Server 2003
CSN-SVC-SMTP-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-SMTP-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-W-AMS-01,services.tzghosting.net,Windows 7 Professional
ABN-TZG-SQL-T10,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-WAS-T02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-XEN-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-SQL-05,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZI-NTWW-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-UTIL-03,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-OOB-NTA-01,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-TZG-SQL-35,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-TZG-SQL-36,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-PDM-SQL-T02,services.tzghosting.net,Windows Server 2003
CSN-PDM-SQL-T03,services.tzghosting.net,Windows Server 2003
CSN-QIC-SQL-09,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-QIC-WKS-01,services.tzghosting.net,Windows 7 Enterprise
CSN-QIC-WKS-03,services.tzghosting.net,Windows 7 Enterprise
CSN-QIC-WKS-02,services.tzghosting.net,Windows 7 Enterprise
CSN-WAE-FW-01,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-TZG-FHG-T02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-FXI-T03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-FXI-T02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-FHG-T03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-APP-T03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-APP-T14,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-SQL-02,services.tzghosting.net,Windows Server 2003
CSN-SVC-SQL-01,services.tzghosting.net,Windows Server 2003
CSN-SVC-AMS-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-AMS-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-AGNT-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-IAAS-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-ECG-05,services.tzghosting.net,Windows Server 2008 R2 Enterprise
ABN-TZG-BDS-03,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-WAS-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-WAS-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-CONV-05,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-VC-05,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-AV-04,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-AV-05,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-AV-05,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-AV-06,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-AV-07,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-AV-03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-AV-02,services.tzghosting.net,Windows Server 2003
CSN-SVC-AV-01,services.tzghosting.net,Windows Server 2003
CSN-SVC-AV-02,services.tzghosting.net,Windows Server 2003
CSN-SVC-AV-03,services.tzghosting.net,Windows Server 2003
ABN-SVC-AV-08,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-AV-01,services.tzghosting.net,Windows Server 2003
ABN-SVC-AV-09,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-AV-06,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-DBM-01,services.tzghosting.net,Windows Server® 2008 Standard
ABN-EMS-DBM-01,services.tzghosting.net,Windows Server® 2008 Standard
CSN-TZI-NTWW-03,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZI-NTWW-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-THC-SQL-06,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-VCWC-01,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-VC-09,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-SSO-01,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-VCM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-VCM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-SQL-14,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-SQL-14,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-IS-01,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-SSO-01,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-IS-01,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-VC-09,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-ECG-06,services.tzghosting.net,Windows Server 2008 R2 Enterprise
ABN-SVC-SQL-12,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-SQL-12,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-AV-13,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-AV-11,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-AV-09,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-AV-12,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-AV-10,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-AV-14,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-AV-07,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-AV-10,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-AV-08,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-QIC-HPA-01,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-SQL-15,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-SVC-HPA-173,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-175,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-179,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-181,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-182,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-183,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-188,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-205,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-221,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-225,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-222,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-223,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-216,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-234,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-249,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-194,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-198,services.tzghosting.net,Windows 7 Enterprise
CSN-EMS-NMP-T02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-HPA-192,services.tzghosting.net,Windows 7 Enterprise
ABN-SVC-VUM-03,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-TZG-VMW-53,services.tzghosting.net,unknown
CSN-EMS-CMP-03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-UTIL-02,services.tzghosting.net,Windows Server 2003
ABN-OIM-VMW-02,services.tzghosting.net,unknown
ABN-SVC-LIC-01,services.tzghosting.net,Windows Server 2003
ABN-TZG-VMW-35,services.tzghosting.net,unknown
ABN-SVC-VMW-25,services.tzghosting.net,unknown
ABN-SVC-VMW-24,services.tzghosting.net,unknown
CSN-EMS-CMP-01,services.tzghosting.net,Windows Server 2008 R2 Standard
abn-svc-vmw-27,services.tzghosting.net,unknown
CSN-EMS-OMW-D01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-TZG-LIC-03,services.tzghosting.net,Windows Server 2008 R2 Standard
abn-svc-vmw-10,services.tzghosting.net,unknown
abn-svc-vmw-28,services.tzghosting.net,unknown
CSN-SVC-HPA-189,services.tzghosting.net,Windows 7 Enterprise
ABN-SVC-TID-60,services.tzghosting.net,Windows Server 2003
ABN-OIM-VMW-06,services.tzghosting.net,unknown
ABN-SVC-UTIL-01,services.tzghosting.net,Windows Server 2003
ABN-TZG-VMW-38,services.tzghosting.net,unknown
CSN-CWH-WEB-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-VMW-34,services.tzghosting.net,unknown
CSN-EMS-NMP-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-VMW-52,services.tzghosting.net,unknown
csn-svc-vmw-27,services.tzghosting.net,unknown
CSN-SVC-VED-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-VED-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-UTIL-02,services.tzghosting.net,Windows Server 2003
ABN-TZG-VMW-37,services.tzghosting.net,unknown
CSN-SVC-UTIL-06,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-HPA-259,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-261,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-252,services.tzghosting.net,Windows 7 Enterprise
ABN-OIM-VMW-07,services.tzghosting.net,unknown
CSN-SVC-HPA-256,services.tzghosting.net,Windows 7 Enterprise
ABN-TZG-VMW-40,services.tzghosting.net,unknown
CSN-SVC-HPA-263,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-251,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-257,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-279,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-AAD-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-HPA-267,services.tzghosting.net,Windows 7 Enterprise
ABN-TZG-SAN-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-HPA-285,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-276,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-VMW-16,services.tzghosting.net,unknown
CSN-SVC-CWI-01,services.tzghosting.net,Windows Server 2008 R2 Standard
csn-svc-vmw-10,services.tzghosting.net,unknown
CSN-SVC-HPA-283,services.tzghosting.net,Windows 7 Enterprise
ABN-SVC-CWI-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-HPA-274,services.tzghosting.net,Windows 7 Enterprise
abn-svc-vmw-17,services.tzghosting.net,unknown
CSN-SVC-HPA-277,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-258,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-268,services.tzghosting.net,Windows 7 Enterprise
CSN-SVC-HPA-266,services.tzghosting.net,Windows 7 Enterprise
ABN-SVC-VC-06,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-VMW-24,services.tzghosting.net,unknown
CSN-SVC-HPA-278,services.tzghosting.net,Windows 7 Enterprise
ABN-TZG-VMW-41,services.tzghosting.net,unknown
CSN-EMS-SYN-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-SLM-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-MET-04,services.tzghosting.net,Windows Server 2003
ABN-SEC-APP-02,services.tzghosting.net,Windows Server 2003
CSN-EMS-SYN-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-DSM-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-DEM-02,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-TZG-SAN-01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-CWI-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-HPA-284,services.tzghosting.net,Windows 7 Enterprise
ABN-TZG-NBU-A01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-OMA-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
csn-svc-vmw-28,services.tzghosting.net,unknown
