Subnet,StartIPAddress,EndIPAddress
10.32.3.0/27,10.32.3.1,10.32.3.30
10.32.4.192/26,10.32.4.193,10.32.4.254
10.32.7.0/26,10.32.7.1,10.32.7.62
192.30.111.32/28,192.30.111.33,192.30.111.46
10.22.14.0/29,10.22.14.1,10.22.14.6
10.22.14.8/29,10.22.14.9,10.22.14.14
10.22.14.16/29,10.22.14.17,10.22.14.22
10.22.14.24/29,10.22.14.25,10.22.14.30
10.22.14.32/29,10.22.14.33,10.22.14.38
10.22.14.48/28,10.22.14.49,10.22.14.62
10.22.14.64/28,10.22.14.65,10.22.14.78
10.22.14.128/26,10.22.14.129,10.22.14.190
10.22.15.0/25,10.22.15.1,10.22.15.126
10.22.15.128/25,10.22.15.129,10.22.15.254
10.28.31.160/28,10.28.31.161,10.28.31.174
10.32.5.0/27,10.32.5.1,10.32.5.30
10.32.6.0/26,10.32.6.1,10.32.6.62
10.32.6.64/26,10.32.6.65,10.32.6.126
10.32.6.128/26,10.32.6.129,10.32.6.190
192.30.111.48/28,192.30.111.49,192.30.111.62
10.22.16.0/29,10.22.16.1,10.22.16.6
10.22.16.8/29,10.22.16.9,10.22.16.14
10.22.16.16/29,10.22.16.17,10.22.16.22
10.22.16.24/29,10.22.16.25,10.22.16.30
10.22.16.32/29,10.22.16.33,10.22.16.38
10.22.16.48/28,10.22.16.49,10.22.16.62
10.22.16.64/28,10.22.16.65,10.22.16.78
10.22.16.128/26,10.22.16.129,10.22.16.190
10.22.17.0/25,10.22.17.1,10.22.17.126
10.22.17.128/25,10.22.17.129,10.22.17.254
10.28.9.240/28,10.28.9.241,10.28.9.254
10.28.22.64/26,10.28.22.65,10.28.22.126
10.28.22.128/26,10.28.22.129,10.28.22.190
10.28.26.64/26,10.28.26.65,10.28.26.126
10.28.26.128/26,10.28.26.129,10.28.26.190
10.28.28.64/26,10.28.28.65,10.28.28.126
10.28.29.192/26,10.28.29.193,10.28.29.254
10.28.30.0/24,10.28.30.1,10.28.30.254
10.28.33.208/28,10.28.33.209,10.28.33.222
10.28.34.32/27,10.28.34.33,10.28.34.62
10.32.5.192/27,10.32.5.193,10.32.5.222
63.77.86.64/28,63.77.86.65,63.77.86.78
192.30.111.64/28,192.30.111.65,192.30.111.78
10.22.18.0/29,10.22.18.1,10.22.18.6
10.22.18.8/29,10.22.18.9,10.22.18.14
10.22.18.16/29,10.22.18.17,10.22.18.22
10.22.18.24/29,10.22.18.25,10.22.18.30
10.22.18.32/29,10.22.18.33,10.22.18.38
10.22.18.48/28,10.22.18.49,10.22.18.62
10.22.18.64/28,10.22.18.65,10.22.18.78
10.22.18.128/26,10.22.18.129,10.22.18.190
10.22.19.0/25,10.22.19.1,10.22.19.126
10.22.19.128/25,10.22.19.129,10.22.19.254
10.28.16.64/27,10.28.16.65,10.28.16.94
192.30.111.80/28,192.30.111.81,192.30.111.94
10.22.20.0/29,10.22.20.1,10.22.20.6
10.22.20.8/29,10.22.20.9,10.22.20.14
10.22.20.16/29,10.22.20.17,10.22.20.22
10.22.20.24/29,10.22.20.25,10.22.20.30
10.22.20.32/29,10.22.20.33,10.22.20.38
10.22.20.48/28,10.22.20.49,10.22.20.62
10.22.20.64/28,10.22.20.65,10.22.20.78
10.22.20.128/26,10.22.20.129,10.22.20.190
10.22.21.0/25,10.22.21.1,10.22.21.126
10.22.21.128/25,10.22.21.129,10.22.21.254
10.28.16.96/27,10.28.16.97,10.28.16.126
10.28.20.0/27,10.28.20.1,10.28.20.30
10.28.20.192/26,10.28.20.193,10.28.20.254
10.28.22.192/26,10.28.22.193,10.28.22.254
10.28.24.0/26,10.28.24.1,10.28.24.62
10.28.24.96/27,10.28.24.97,10.28.24.126
10.28.25.32/27,10.28.25.33,10.28.25.62
10.28.26.192/26,10.28.26.193,10.28.26.254
10.28.27.0/26,10.28.27.1,10.28.27.62
10.28.27.64/26,10.28.27.65,10.28.27.126
10.28.27.128/26,10.28.27.129,10.28.27.190
192.30.111.96/28,192.30.111.97,192.30.111.110
192.30.111.192/28,192.30.111.193,192.30.111.206
10.22.22.0/29,10.22.22.1,10.22.22.6
10.22.22.8/29,10.22.22.9,10.22.22.14
10.22.22.16/29,10.22.22.17,10.22.22.22
10.22.22.24/29,10.22.22.25,10.22.22.30
10.22.22.32/29,10.22.22.33,10.22.22.38
10.22.22.48/28,10.22.22.49,10.22.22.62
10.22.22.64/28,10.22.22.65,10.22.22.78
10.22.22.128/26,10.22.22.129,10.22.22.190
10.22.23.0/25,10.22.23.1,10.22.23.126
10.22.23.128/25,10.22.23.129,10.22.23.254
10.28.16.128/27,10.28.16.129,10.28.16.158
10.28.17.64/26,10.28.17.65,10.28.17.126
10.28.17.128/26,10.28.17.129,10.28.17.190
10.28.20.160/27,10.28.20.161,10.28.20.190
10.28.24.128/26,10.28.24.129,10.28.24.190
10.28.25.192/26,10.28.25.193,10.28.25.254
10.28.26.0/26,10.28.26.1,10.28.26.62
10.28.28.128/26,10.28.28.129,10.28.28.190
192.30.111.112/28,192.30.111.113,192.30.111.126
10.22.24.0/29,10.22.24.1,10.22.24.6
10.22.24.8/29,10.22.24.9,10.22.24.14
10.22.24.16/29,10.22.24.17,10.22.24.22
10.22.24.24/29,10.22.24.25,10.22.24.30
10.22.24.32/29,10.22.24.33,10.22.24.38
10.22.24.48/28,10.22.24.49,10.22.24.62
10.22.24.64/28,10.22.24.65,10.22.24.78
10.22.24.128/26,10.22.24.129,10.22.24.190
10.22.25.0/25,10.22.25.1,10.22.25.126
10.22.25.128/25,10.22.25.129,10.22.25.254
10.28.16.160/27,10.28.16.161,10.28.16.190
10.28.17.0/26,10.28.17.1,10.28.17.62
10.28.19.128/27,10.28.19.129,10.28.19.158
10.28.20.32/27,10.28.20.33,10.28.20.62
10.28.20.128/27,10.28.20.129,10.28.20.158
192.30.111.128/28,192.30.111.129,192.30.111.142
10.22.26.0/29,10.22.26.1,10.22.26.6
10.22.26.8/29,10.22.26.9,10.22.26.14
10.22.26.16/29,10.22.26.17,10.22.26.22
10.22.26.24/29,10.22.26.25,10.22.26.30
10.22.26.32/29,10.22.26.33,10.22.26.38
10.22.26.48/28,10.22.26.49,10.22.26.62
10.22.26.64/28,10.22.26.65,10.22.26.78
10.22.26.128/26,10.22.26.129,10.22.26.190
10.22.27.0/25,10.22.27.1,10.22.27.126
10.22.27.128/25,10.22.27.129,10.22.27.254
10.28.16.192/27,10.28.16.193,10.28.16.222
10.28.25.64/27,10.28.25.65,10.28.25.94
10.28.25.96/27,10.28.25.97,10.28.25.126
10.28.25.128/27,10.28.25.129,10.28.25.158
10.28.25.160/27,10.28.25.161,10.28.25.190
192.30.111.144/28,192.30.111.145,192.30.111.158
10.22.28.0/29,10.22.28.1,10.22.28.6
10.22.28.8/29,10.22.28.9,10.22.28.14
10.22.28.16/29,10.22.28.17,10.22.28.22
10.22.28.24/29,10.22.28.25,10.22.28.30
10.22.28.32/29,10.22.28.33,10.22.28.38
10.22.28.48/28,10.22.28.49,10.22.28.62
10.22.28.64/28,10.22.28.65,10.22.28.78
10.22.28.128/26,10.22.28.129,10.22.28.190
10.22.29.0/25,10.22.29.1,10.22.29.126
10.22.29.128/25,10.22.29.129,10.22.29.254
10.28.9.192/27,10.28.9.193,10.28.9.222
10.28.18.128/25,10.28.18.129,10.28.18.254
10.28.19.0/25,10.28.19.1,10.28.19.126
10.28.21.0/25,10.28.21.1,10.28.21.126
10.28.21.128/25,10.28.21.129,10.28.21.254
10.28.23.0/25,10.28.23.1,10.28.23.126
10.28.23.128/25,10.28.23.129,10.28.23.254
10.28.36.0/24,10.28.36.1,10.28.36.254
10.28.37.0/24,10.28.37.1,10.28.37.254
10.28.46.64/26,10.28.46.65,10.28.46.126
192.30.111.160/28,192.30.111.161,192.30.111.174
10.22.30.0/29,10.22.30.1,10.22.30.6
10.22.30.8/29,10.22.30.9,10.22.30.14
10.22.30.16/29,10.22.30.17,10.22.30.22
10.22.30.24/29,10.22.30.25,10.22.30.30
10.22.30.32/29,10.22.30.33,10.22.30.38
10.22.30.48/28,10.22.30.49,10.22.30.62
10.22.30.64/28,10.22.30.65,10.22.30.78
10.22.30.128/26,10.22.30.129,10.22.30.190
10.22.31.0/25,10.22.31.1,10.22.31.126
10.22.31.128/25,10.22.31.129,10.22.31.254
10.28.16.224/27,10.28.16.225,10.28.16.254
10.28.19.192/26,10.28.19.193,10.28.19.254
10.28.20.64/26,10.28.20.65,10.28.20.126
10.28.22.0/26,10.28.22.1,10.28.22.62
10.28.24.192/26,10.28.24.193,10.28.24.254
10.28.35.224/27,10.28.35.225,10.28.35.254
192.30.111.224/28,192.30.111.225,192.30.111.238
10.22.32.0/29,10.22.32.1,10.22.32.6
10.22.32.8/29,10.22.32.9,10.22.32.14
10.22.32.16/29,10.22.32.17,10.22.32.22
10.22.32.24/29,10.22.32.25,10.22.32.30
10.22.32.32/29,10.22.32.33,10.22.32.38
10.22.32.48/28,10.22.32.49,10.22.32.62
10.22.32.64/28,10.22.32.65,10.22.32.78
10.22.32.128/26,10.22.32.129,10.22.32.190
10.22.33.0/25,10.22.33.1,10.22.33.126
10.22.33.128/25,10.22.33.129,10.22.33.254
10.28.28.16/28,10.28.28.17,10.28.28.30
192.30.111.240/28,192.30.111.241,192.30.111.254
10.22.34.0/29,10.22.34.1,10.22.34.6
10.22.34.8/29,10.22.34.9,10.22.34.14
10.22.34.16/29,10.22.34.17,10.22.34.22
10.22.34.24/29,10.22.34.25,10.22.34.30
10.22.34.32/29,10.22.34.33,10.22.34.38
10.22.34.48/28,10.22.34.49,10.22.34.62
10.22.34.64/28,10.22.34.65,10.22.34.78
10.22.34.128/26,10.22.34.129,10.22.34.190
10.22.35.0/25,10.22.35.1,10.22.35.126
10.22.35.128/25,10.22.35.129,10.22.35.254
10.28.28.32/28,10.28.28.33,10.28.28.46
10.28.28.192/26,10.28.28.193,10.28.28.254
10.28.29.0/26,10.28.29.1,10.28.29.62
10.28.29.64/26,10.28.29.65,10.28.29.126
10.28.29.128/26,10.28.29.129,10.28.29.190
10.28.33.128/26,10.28.33.129,10.28.33.190
192.30.111.176/28,192.30.111.177,192.30.111.190
10.22.36.0/29,10.22.36.1,10.22.36.6
10.22.36.8/29,10.22.36.9,10.22.36.14
10.22.36.16/29,10.22.36.17,10.22.36.22
10.22.36.24/29,10.22.36.25,10.22.36.30
10.22.36.32/29,10.22.36.33,10.22.36.38
10.22.36.48/28,10.22.36.49,10.22.36.62
10.22.36.64/28,10.22.36.65,10.22.36.78
10.22.36.128/26,10.22.36.129,10.22.36.190
10.22.37.0/25,10.22.37.1,10.22.37.126
10.22.37.128/25,10.22.37.129,10.22.37.254
10.28.32.0/27,10.28.32.1,10.28.32.30
10.28.32.64/26,10.28.32.65,10.28.32.126
10.28.32.128/26,10.28.32.129,10.28.32.190
10.28.34.64/26,10.28.34.65,10.28.34.126
63.77.86.0/28,63.77.86.1,63.77.86.14
10.22.38.0/29,10.22.38.1,10.22.38.6
10.22.38.8/29,10.22.38.9,10.22.38.14
10.22.38.16/29,10.22.38.17,10.22.38.22
10.22.38.24/29,10.22.38.25,10.22.38.30
10.22.38.32/29,10.22.38.33,10.22.38.38
10.22.38.48/28,10.22.38.49,10.22.38.62
10.22.38.64/28,10.22.38.65,10.22.38.78
10.22.38.128/26,10.22.38.129,10.22.38.190
10.22.39.0/25,10.22.39.1,10.22.39.126
10.22.39.128/25,10.22.39.129,10.22.39.254
10.28.33.192/28,10.28.33.193,10.28.33.206
63.77.86.16/28,63.77.86.17,63.77.86.30
10.22.40.0/29,10.22.40.1,10.22.40.6
10.22.40.8/29,10.22.40.9,10.22.40.14
10.22.40.16/29,10.22.40.17,10.22.40.22
10.22.40.24/29,10.22.40.25,10.22.40.30
10.22.40.32/29,10.22.40.33,10.22.40.38
10.22.40.48/28,10.22.40.49,10.22.40.62
10.22.40.64/28,10.22.40.65,10.22.40.78
10.22.40.128/26,10.22.40.129,10.22.40.190
10.22.41.0/25,10.22.41.1,10.22.41.126
10.22.41.128/25,10.22.41.129,10.22.41.254
10.28.33.240/28,10.28.33.241,10.28.33.254
10.28.34.128/28,10.28.34.129,10.28.34.142
10.28.34.144/28,10.28.34.145,10.28.34.158
10.28.38.128/26,10.28.38.129,10.28.38.190
10.28.38.192/26,10.28.38.193,10.28.38.254
10.28.39.0/26,10.28.39.1,10.28.39.62
63.77.86.48/28,63.77.86.49,63.77.86.62
10.22.42.0/29,10.22.42.1,10.22.42.6
10.22.42.8/29,10.22.42.9,10.22.42.14
10.22.42.16/29,10.22.42.17,10.22.42.22
10.22.42.24/29,10.22.42.25,10.22.42.30
10.22.42.32/29,10.22.42.33,10.22.42.38
10.22.42.48/28,10.22.42.49,10.22.42.62
10.22.42.64/28,10.22.42.65,10.22.42.78
10.22.42.128/26,10.22.42.129,10.22.42.190
10.22.43.0/25,10.22.43.1,10.22.43.126
10.22.43.128/25,10.22.43.129,10.22.43.254
10.28.38.64/27,10.28.38.65,10.28.38.94
63.77.86.96/28,63.77.86.97,63.77.86.110
10.22.44.0/29,10.22.44.1,10.22.44.6
10.22.44.8/29,10.22.44.9,10.22.44.14
10.22.44.16/29,10.22.44.17,10.22.44.22
10.22.44.24/29,10.22.44.25,10.22.44.30
10.22.44.32/29,10.22.44.33,10.22.44.38
10.22.44.48/28,10.22.44.49,10.22.44.62
10.22.44.64/28,10.22.44.65,10.22.44.78
10.22.44.128/26,10.22.44.129,10.22.44.190
10.22.45.0/25,10.22.45.1,10.22.45.126
10.22.45.128/25,10.22.45.129,10.22.45.254
10.28.44.192/26,10.28.44.193,10.28.44.254
63.77.86.112/28,63.77.86.113,63.77.86.126
10.22.46.0/29,10.22.46.1,10.22.46.6
10.22.46.8/29,10.22.46.9,10.22.46.14
10.22.46.16/29,10.22.46.17,10.22.46.22
10.22.46.24/29,10.22.46.25,10.22.46.30
10.22.46.32/29,10.22.46.33,10.22.46.38
10.22.46.48/28,10.22.46.49,10.22.46.62
10.22.46.64/28,10.22.46.65,10.22.46.78
10.22.46.128/26,10.22.46.129,10.22.46.190
10.22.47.0/25,10.22.47.1,10.22.47.126
10.22.47.128/25,10.22.47.129,10.22.47.254
10.28.44.128/26,10.28.44.129,10.28.44.190
63.77.86.128/28,63.77.86.129,63.77.86.142
