DeploymentName,DeviceCollection,AvailableTime, DeadLineTime,Status
SUG-JAN-2018 on MW NON PROD REGULAR SERVERS,MW NON PROD REGULAR SERVERS,01/17/2018 05:00:00,01/18/2018 21:00:00,Deployed
,,01/17/2018 05:00:00,01/18/2018 21:00:00,Failed: Error: SUG Deployment error. Check device-collection name or date/time format. 
,,01/17/2018 05:00:00,01/18/2018 21:00:00,Failed: Error: SUG Deployment error. Check device-collection name or date/time format. 
