DeviceCollection,Server
RemediationSpectreMeltdown,abn-aah-dc-01.aah.tzghosting.net
RemediationSpectreMeltdown,abn-aah-dfs-01.aah.tzghosting.net
RemediationSpectreMeltdown,abn-mhh-dc-01.mhh.tzghosting.net
RemediationSpectreMeltdown,abn-mhh-dc-02.mhh.tzghosting.net
RemediationSpectreMeltdown,abn-vhp-dc-01.vhp.tzghosting.net
RemediationSpectreMeltdown,abn-vhp-dc-02.vhp.tzghosting.net
RemediationSpectreMeltdown,abn-vhp-dfs-01.vhp.tzghosting.net
RemediationSpectreMeltdown,abn-vhp-zdc-01.vhp.tzghosting.net
RemediationSpectreMeltdown,abn-vhp-zdc-02.vhp.tzghosting.net
RemediationSpectreMeltdown,abn-vhp-cwi-01.vhp.tzghosting.net
RemediationSpectreMeltdown,abn-vhp-cwi-02.vhp.tzghosting.net
RemediationSpectreMeltdown,abn-b01-dc-01.b01.tzghosting.net
RemediationSpectreMeltdown,abn-b01-dc-02.b01.tzghosting.net
RemediationSpectreMeltdown,abn-b01-dfs-01.b01.tzghosting.net
RemediationSpectreMeltdown,abn-b01-app-t11.b01.tzghosting.net
RemediationSpectreMeltdown,abn-b01-ihm-t04.b01.tzghosting.net
RemediationSpectreMeltdown,abn-b01-sql-t12.b01.tzghosting.net
RemediationSpectreMeltdown,abn-b01-sql-t13.b01.tzghosting.net
RemediationSpectreMeltdown,abn-b02-dc-01.b02.tzghosting.net
RemediationSpectreMeltdown,abn-b02-dc-02.b02.tzghosting.net
RemediationSpectreMeltdown,abn-b02-dfs-01.b02.tzghosting.net
RemediationSpectreMeltdown,abn-b03-dc-01.b03.tzghosting.net
RemediationSpectreMeltdown,abn-b03-dc-02.b03.tzghosting.net
RemediationSpectreMeltdown,abn-b03-dfs-01.b03.tzghosting.net
RemediationSpectreMeltdown,abn-ahw-zdc-02.ahw.tzghosting.net
RemediationSpectreMeltdown,abn-tix-dc-01.tix.tzghosting.net
RemediationSpectreMeltdown,abn-tix-dc-02.tix.tzghosting.net
RemediationSpectreMeltdown,abn-tix-dfs-01.tix.tzghosting.net
RemediationSpectreMeltdown,abn-qic-dc-01.qic.tzghosting.net
RemediationSpectreMeltdown,abn-qic-dc-02.qic.tzghosting.net
RemediationSpectreMeltdown,abn-qic-sql-t04.qic.tzghosting.net
RemediationSpectreMeltdown,abn-sph-dc-01.sph.tzghosting.net
RemediationSpectreMeltdown,abn-sph-dc-02.sph.tzghosting.net
RemediationSpectreMeltdown,abn-nbh-dc-01.nbh.tzghosting.net
RemediationSpectreMeltdown,abn-nbh-dc-02.nbh.tzghosting.net
RemediationSpectreMeltdown,abn-sch-dc-01.sch.tzghosting.net
RemediationSpectreMeltdown,abn-sch-dc-02.sch.tzghosting.net
RemediationSpectreMeltdown,abn-sdb-app-01.sdb.tzghosting.net
RemediationSpectreMeltdown,abn-hzn-dc-01.hzn.tzghosting.net
