Domain,Subnet,Site
SERVICES.TZGHOSTING.NET,10.10.0.0/16,TCS
SERVICES.TZGHOSTING.NET,10.105.0.0/16,TCS
SERVICES.TZGHOSTING.NET,10.1.0.0/16,TCS
SERVICES.TZGHOSTING.NET,10.61.2.0/23,TCS
SERVICES.TZGHOSTING.NET,10.106.0.0/16,TCS
SERVICES.TZGHOSTING.NET,10.80.120.0/23,ABQ
SERVICES.TZGHOSTING.NET,10.60.0.0/16,TCS
SERVICES.TZGHOSTING.NET,10.61.102.0/23,TCS
SERVICES.TZGHOSTING.NET,172.16.0.0/16,TCS
SERVICES.TZGHOSTING.NET,172.23.51.0/24,TCS
SERVICES.TZGHOSTING.NET,10.70.0.0/16,TCS
SERVICES.TZGHOSTING.NET,172.23.52.0/24,TCS
SERVICES.TZGHOSTING.NET,192.168.252.0/24,TCS
SERVICES.TZGHOSTING.NET,10.43.8.0/24,TCS
SERVICES.TZGHOSTING.NET,10.115.10.0/24,TCS
SERVICES.TZGHOSTING.NET,10.115.15.0/24,TCS
SERVICES.TZGHOSTING.NET,10.81.8.0/24,ABQ
SERVICES.TZGHOSTING.NET,10.118.8.0/25,TCS
SERVICES.TZGHOSTING.NET,10.41.8.0/24,TCS
SERVICES.TZGHOSTING.NET,10.16.0.0/16,TCS
SERVICES.TZGHOSTING.NET,10.44.0.0/16,TCS
SERVICES.TZGHOSTING.NET,10.84.0.0/16,ABQ
SERVICES.TZGHOSTING.NET,10.44.99.0/24,TCS
SERVICES.TZGHOSTING.NET,10.84.99.0/24,ABQ
